date,f107,kp
1846-09,-1,-1
1846-10,-1,-1
1846-11,-1,-1
1846-12,-1,-1
1847-01,-1,-1
1847-02,-1,-1
1847-03,-1,-1
1847-04,-1,-1
1847-05,-1,-1
1847-06,-1,-1
1847-07,-1,-1
1847-08,-1,-1
1847-09,-1,-1
1847-10,-1,-1
1847-11,-1,-1
1847-12,-1,-1
1848-01,-1,-1
1848-02,-1,-1
1848-03,-1,-1
1848-04,-1,-1
1848-05,-1,-1
1848-06,-1,-1
1848-07,-1,-1
1848-08,-1,-1
1848-09,-1,-1
1848-10,-1,-1
1848-11,-1,-1
1848-12,-1,-1
1849-01,-1,-1
1849-02,-1,-1
1849-03,-1,-1
1849-04,-1,-1
1849-05,-1,-1
1849-06,-1,-1
1849-07,-1,-1
1849-08,-1,-1
1849-09,-1,-1
1849-10,-1,-1
1849-11,-1,-1
1849-12,-1,-1
1850-01,-1,-1
1850-02,-1,-1
1850-03,-1,-1
1850-04,-1,-1
1850-05,-1,-1
1850-06,-1,-1
1850-07,-1,-1
1850-08,-1,-1
1850-09,-1,-1
1850-10,-1,-1
1850-11,-1,-1
1850-12,-1,-1
1851-01,-1,-1
1851-02,-1,-1
1851-03,-1,-1
1851-04,-1,-1
1851-05,-1,-1
1851-06,-1,-1
1851-07,-1,-1
1851-08,-1,-1
1851-09,-1,-1
1851-10,-1,-1
1851-11,-1,-1
1851-12,-1,-1
1852-01,-1,-1
1852-02,-1,-1
1852-03,-1,-1
1852-04,-1,-1
1852-05,-1,-1
1852-06,-1,-1
1852-07,-1,-1
1852-08,-1,-1
1852-09,-1,-1
1852-10,-1,-1
1852-11,-1,-1
1852-12,-1,-1
1853-01,-1,-1
1853-02,-1,-1
1853-03,-1,-1
1853-04,-1,-1
1853-05,-1,-1
1853-06,-1,-1
1853-07,-1,-1
1853-08,-1,-1
1853-09,-1,-1
1853-10,-1,-1
1853-11,-1,-1
1853-12,-1,-1
1854-01,-1,-1
1854-02,-1,-1
1854-03,-1,-1
1854-04,-1,-1
1854-05,-1,-1
1854-06,-1,-1
1854-07,-1,-1
1854-08,-1,-1
1854-09,-1,-1
